flixbus,urn:trainline:flixbus:extra:wifi,WiFi,wifi
ntv,urn:trainline:ntv:extra:newspaper,Newspaper (in the morning),reading
trenitalia,urn:trainline:trenitalia:extra:seat_selection-9099959a49962cb34f83971e86c113e2,Sitzplatzauswahl,seatSelection
sncf,urn:trainline:sncf:extra:wifi,WLAN,
obb,urn:trainline:obb:extra:bord_restaurant,Restaurant ombord,restaurant
flixbus,urn:trainline:flixbus:extra:hand_luggage-93b68a8aa8a66de6053e758bc7b0435d,Hand baggage,handLuggage
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Luzern,localTransport
renfe,urn:trainline:renfe:extra:nino_seat,Plaza con asiento para niño,
sncf,urn:trainline:sncf:extra:bicycle_without_reservation,Espacio para bicicletas,bicycle
busbud,urn:trainline:busbud:extra:outlet-b00d4292652b36f4b872a7701a1e2e1e,Power outlet,electricSocket
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Köniz,localTransport
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,"City-Ticket Chur, Malteser",localTransport
ntv,urn:trainline:ntv:extra:wifi,%{c35ed582bcd391ff828d2cc38fd861dbbd84d272},wifi
ntv,urn:trainline:ntv:extra:xleg,Espacio adicional para las piernas,extraLegroom
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_solo_essentiel_adulte_no_seatmap-25ffc14edc7b2edd6b75c0e14ba6ad5e,Solo seat,seatSelectionNoSeatmap
obb,urn:trainline:obb:extra:lounge_wien_hbf-c15ed12d024d456fcb9180f4781d88ce,ÖBB lounge Wien Hbf,departureLounge
ouigo,urn:trainline:ouigo:extra:seat_selection_no_seatmap_solo-6fc97cb78d7295e3916c09242c243c46,Asiento aislado,seatSelectionNoSeatmap
ouigo,urn:trainline:ouigo:extra:ouigo_plus_boarding-c85caca6a65d4954e67bc0a1dc67f5f3,Priority boarding,pram
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known,1 Gepäckstück von 30 kg,
distribusion,urn:trainline:distribusion:extra:mediasystem-421137fce5004b00eab2caf80cb9c5f4,Media System,
sncf,urn:trainline:sncf:extra:bicycle_without_reservation-76873595b60e481cc61d2b030cc4b754,Espace vélo,bicycle
trenitalia,urn:trainline:trenitalia:extra:morning_newspaper-d7b8ce7e799a8f32a8aee8cbf9fc3083,Morning newspaper,reading
ouigo,urn:trainline:ouigo:extra:ouigo_plus_boarding-cc420d1593a4196fa31998ea952ba0cf,translation missing: en.data.ssr.ouigo.ouigo_plus_boarding.title,departureLounge
flixbus,urn:trainline:flixbus:extra:hand_luggage,Hand baggage,handLuggage
ntv,urn:trainline:ntv:extra:welcome_snack-96cea6d9082a5022412f140ab482c778,Welcome drinks and snacks,meal
cff,urn:trainline:cff:extra:cff_city_ticket_departure-7cdc85d15bfd2c3d102bb6df5ed7badb,City-Ticket Le Locle,localTransport
flixbus,urn:trainline:flixbus:extra:hand_luggage,4 bagagli a mano,handLuggage
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_duopp_essentiel_adulte-798bf481b9b75347eb2b71c34a3d92cf,Seat selection,
ntv,urn:trainline:ntv:extra:newspaper-e638e4ff431ac33b67a84ed6c2c9b310,Newspaper (in the morning),reading
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket St-Léonard,localTransport
ouigo,urn:trainline:ouigo:extra:seat_selection_paxspec_0_e6db4a8df0ecd1be63dba6063e0a9dd85eee34a6_ouigo_solo-2865e90904139361ae701c3235821849,Seat selection,
renfe,urn:trainline:renfe:extra:seat_selection-1d39022858e43f5599be394381bbec8f,Seat selection,seatSelection
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_duopp_essentiel_adulte_no_seatmap-cb283db0d8ba6d0e7ac91a3373fd417e,Seat with power outlet,seatSelectionNoSeatmap
obb,urn:trainline:obb:extra:lounge_salzburg_hbf,ÖBB lounge Salzburg Hbf,departureLounge
trenitalia,urn:trainline:trenitalia:extra:welcome_snack,Welcome drinks and snacks,meal
flixbus,urn:trainline:flixbus:extra:travel_luggage,2 bagagli da stiva,luggage
distribusion,urn:trainline:distribusion:extra:snacks-063423ae421144b6ee678d60f34c7a7c,Snacks,meal
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Neuchâtel Champ-Bougin,localTransport
westbahn,urn:trainline:westbahn:extra:seat_catering,In-seat snack service,
sncf,urn:trainline:sncf:extra:bicycle_with_reservation,Places vélos (2),
flixbus,urn:trainline:flixbus:extra:travel_luggage,1 stuk bagage,luggage
ntv,urn:trainline:ntv:extra:newspaper,Diarios (por la mañana),reading
obb,urn:trainline:obb:extra:lounge_salzburg_hbf-41161736b58547b3af2bb5ee578f3006,ÖBB lounge Salzburg Hbf,departureLounge
distribusion,urn:trainline:distribusion:extra:snacks-74e5c5e96649bd21bbb064823dceb9f1,Snacks,meal
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Colombier,localTransport
busbud,urn:trainline:busbud:extra:outlet,Steckdose,
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Konstanz,localTransport
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known,1 travel baggage of 20 kg,luggage
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known,2 rejse luggage af20 kg,luggage
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Auvernier,localTransport
ntv,urn:trainline:ntv:extra:newspaper,Gazeta (rano),reading
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known,1 travel baggage of 20 kg,luggage
ouigo,urn:trainline:ouigo:extra:ouigo_plus_free_seat_selection-93c2dea7ca3eb445405f007e298c0ce9,Seat selection,seatSelection
trenitalia,urn:trainline:trenitalia:extra:wifi-70a23967006d9d0d57f1e0e7d5d01375,Wi-fi,wifi
distribusion,urn:trainline:distribusion:extra:bike-38b5c0edefb728832fb298ccf7aff1b1,Accessible area for bicycles,bicycle
obb,urn:trainline:obb:extra:lounge_wien_hbf-fb6ccc7061f1d12af5a29fe9be15a389,ÖBB lounge Köln Hbf,departureLounge
flixbus,urn:trainline:flixbus:extra:hand_luggage,2 Handgepäckstücke,
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known,2 bagagli da stiva di 20 kg,
busbud,urn:trainline:busbud:extra:hand_luggage,1 bagage à main,
sncf,urn:trainline:sncf:extra:served_dish-6a5270f137aa96962c182acfdd659a0f,Repas à la place,
cff,urn:trainline:cff:extra:cff_city_ticket_arrival-51b62385daca894e51829ac37be2d9aa,City-Ticket Fribourg,localTransport
obb,urn:trainline:obb:extra:lounge_innsbruck_hbf-de379cf6e5ddc056639a66522cc7c5e1,ÖBB lounge Sargans,departureLounge
flixbus,urn:trainline:flixbus:extra:travel_luggage,4 maletas,luggage
sncf,urn:trainline:sncf:extra:wifi,WiFi,wifi
westbahn,urn:trainline:westbahn:extra:free_wifi-68ef2cf37c9ea7ceed3722145df87ad9,WLAN,wifi
sncf,urn:trainline:sncf:extra:business_premiere,Business Premier,
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Davos Dorf,localTransport
flixbus,urn:trainline:flixbus:extra:travel_luggage-105283dc63a894298255e682808e5036,Travel baggages,luggage
trenitalia,urn:trainline:trenitalia:extra:welcome_snack-99c44d4afd62f6a4693500ecf1db6861,Boisson et en-cas,meal
obb,urn:trainline:obb:extra:öbb lounge innsbruck hbf,translation missing: it.data.ssr.obb.öbb lounge innsbruck hbf.title,
sncf,urn:trainline:sncf:extra:bicycle_with_reservation-fc03e711757d4e6e2e4950e3090d1a01,Réservation vélo pour tous les passagers,bicycle
db,urn:trainline:db:extra:ic_bus_free_wifi,WiFi,wifi
db_pst,urn:trainline:db_pst:extra:ice_free_wifi-3bb40b81dadc035cfc52e55d2eac0959,WIFI Test,wifi
busbud,urn:trainline:busbud:extra:toilet,Toiletten,toilet
flixbus,urn:trainline:flixbus:extra:wifi,WiFi,wifi
ouigo,urn:trainline:ouigo:extra:seat_selection_paxspec_1_bc82a8760115a15422f2201a2a0308499e2b00c6_ouigo_solo-2bf49feb3c763ba76a4099be8679e8d8,Seat selection,
ouigo,urn:trainline:ouigo:extra:seat_selection_paxspec_0_567366867a7311eb97a88bb47308b11d_ouigo_solo-decd4c7e075d3f30f4a3e115b21144ce,Seat selection,
ntv,urn:trainline:ntv:extra:outlet,Electrical socket,
ntv,urn:trainline:ntv:extra:newspaper-2ebd6a97c1d667010a8404cacf0b8ade,Giornali (la mattina),reading
sncf,urn:trainline:sncf:extra:served_dish-047ce7b916e935020f06040de36e597e,Repas à la place,
cff,urn:trainline:cff:extra:cff_city_ticket_departure-37e378ee1d1f1adc21e3828746871031,City-Ticket Biel/Bienne,localTransport
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket San Martino,localTransport
ntv,urn:trainline:ntv:extra:illimited_snack-7ccacb6a5db0e5c4cb6fbe9fcf23a62c,Unlimited drinks and snacks,
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Lancy-Bachet,localTransport
ntv,urn:trainline:ntv:extra:xleg,Extra leg room,extraLegroom
obb,urn:trainline:obb:extra:lounge_wien_hbf-7f07db5bf1590370dbf436f81c3c4523,ÖBB lounge Wien Hbf,departureLounge
distribusion,urn:trainline:distribusion:extra:easyaccessprmseat-cb4e4db073e393eff4654d10e2bef6f3,Easy access to floor,easyAccessPRMSeat
busbud,urn:trainline:busbud:extra:hand_luggage-5ca6c673dfd248932e1e866f75f59f8f,Hand baggage,handLuggage
busbud,urn:trainline:busbud:extra:toilet,Toilets,toilet
ntv,urn:trainline:ntv:extra:newspaper,Journaux (le matin),reading
ouigo,urn:trainline:ouigo:extra:ouigo_spain_included_luggage-190cc2425ef8aece7fdba354d318f65c,Included luggage,luggage
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,City-Ticket Ostermundigen,localTransport
ouigo,urn:trainline:ouigo:extra:seat_selection_paxspec_2_ouigo_solo-9abef8a5f2ffd160a8be8f201d945e8a,Seat selection,
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_solo_essentiel_adulte_no_seatmap-7bc7d713b0fa9ab701a4cf76c3a2a2bf,Solo seat,seatSelectionNoSeatmap
obb,urn:trainline:obb:extra:bord_restaurant,On-board restaurant,restaurant
db_pst,urn:trainline:db_pst:extra:yolo-ec43ccc27420d9abba6c161f177c37f3,YOLOOOOOOOOOO,
ntv,urn:trainline:ntv:extra:welcome_snack,Bevande e snack,meal
sncf,urn:trainline:sncf:extra:bicycle_with_reservation,Posto bicicletta,bicycle
trenitalia,urn:trainline:trenitalia:extra:welcome_snack,Welcome drinks and snacks,meal
trenitalia,urn:trainline:trenitalia:extra:welcome_snack,Welcome drinks and snacks,
busbud,urn:trainline:busbud:extra:travel_luggage.weight_known,1 travel baggage of 29 kg,luggage
ntv,urn:trainline:ntv:extra:welcome_snack,Welcome drinks and snacks,meal
sncf,urn:trainline:sncf:extra:business_premiere,Business Premier,
ouigo,urn:trainline:ouigo:extra:ouigo_spain_additional_luggage-54b6dc8fe95332351da80ac41af96688,Extra baggage,luggage
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_duo_essentiel_adulte-c3ec4f4ca7e882bf4bec5de49e713b19,Seat selection,seatSelection
ouigo,urn:trainline:ouigo:extra:seat_selection_ouigo_solo_essentiel_adulte_no_seatmap-25ffc14edc7b2edd6b75c0e14ba6ad5e,Solo seat,seatSelectionNoSeatmap
cff,urn:trainline:cff:extra:cff_city_ticket_arrival,"City-Ticket Bern, Beaumont",localTransport
sncf,urn:trainline:sncf:extra:bicycle_with_reservation,Bike reservations (2),
busbud,urn:trainline:busbud:extra:wifi,WiFi,
